,0
0,college degree driver license developed communication asset management communication skills sales consultant 
1,bicycle courier delivery driver 
2,good communication have good very accurate project engineers take place project engineer head office technical documentation mbo education experience 
3,sufficient knowledge will have product knowledge mbo level customer information innovative solution experience customer service representative term experience customer service hardware knowledge answering customer questions written communication skills 
4,customer oriented technical support customer service no experience 
5,system administrator management activities head office system management thinking level application management 
6,heating technology installation technology driving apprentice service technician experienced service technician 
7,administrative background driver license administrative experience customer oriented support employee technical support advising clients mbo level 2 
8,very positive primary education class management can adapt well teaching assistant diploma flexible teaching assistant 
9,mediate experience psychosocial counseling diploma nursing experienced nurse driver license social skills motivate convince technical nursing 
10,account management energetic driven wo education have good be responsible english language analytical skills have experience sales support specialist 
11,process technology workplace experience english language decisive communicative thinking level analytical skills continuous optimization written communication skills strong analytical skills 
12,induction process head office support environment administrative logistics technical insight have experience sales administrative customer service 
13,completed education guiding restructuring first have work experience adventurous attitude preparing management administrative field administrative processes technical coaching assistant accountant 
14,driver license sustainable employability translate prisma take initiative mild intellectual disability mbo level 3 
15,maintenance repairs mechanic works technical service machine mechanic education level 
16,team leader enthusiastic logistics english language internal childcare truck driver dutch experience 
17,coordinator preparation leading provider regulations knowledge positive image environment experience organizational culture thinking level functional management energetic innovative facility function insurance coordinator hbo university work logistics service providers 
18,extensive experience take place project management thinking level excellent communication can accommodate communication skills proactive powerful political administrative sensitivity 
19,remedial educationalist education bachelor analytical skills mental health health care 
20,positive attitude take place very enthusiastic home care care nurse nursing diploma experience good 
21,translate customer analysis services presentation skills bi consultant service provider project opportunities thinking level customer oriented line support service desk technical documentation developed communication have experience top product work independently warehouse reporting building 
22,work experience driver license plan make client target sustainable employability translate prisma take initiative elderly care mbo level 4 
23,completed education installation engineering inquisitive technician installation technology technical knowledge experienced plumber driver license motivated plumber apprentice 
24,trainer chipsoft personal trainer team leader team player head office social activities thinking level customer oriented act independently project consultant pragmatic technical consultant dutch language hbo sql analytical insight 
25,extensive experience work experience sewage maintenance experience developments communication skills education level 
26,have empathy positive attitude driver license sustainable employability translate prisma somatic care take initiative pdl palliative care mbo level 3 
27,practitioner care administrative assistant doctor assistant demonstrable experience experience doctor certified doctor administrative actions have experience work independently 
28,experienced nurse elderly care care provider team nurse 
29,management department professional education analytical thinking information management accountability management analysis accountability business intelligence numerical insight 
30,pull bear translate sales 
31,process analysis advertising manager takes initiative ambitious growth interpret data energetic work disability assistance project management customer centric performance advertising go even integrated marketing technical aptitude 
32,maintenance technicians work experience mbo diploma maintenance mechanic will have deal well service maintenance technician 
33,education coach remedial educationalist luzac tutoring educational support university education secondary education daily management educational coaches 
34,very positive teaching assistant online teaching education because pabo teaching have experience 
35,care providers will have business management leadership courage management development excellent connecting thinking level care provider qualitative care completed university education 
36,bicycle courier delivery driver 
37,work experience cv mechanic auxiliary technician customer oriented mechanic mechanical work independently 
38,primary education have perseverance work experience 
39,wo education good communication have good work experience customer supplier plan work sales back education hbo sales advisor communication skills 
40,wo education good communication have good work experience customer supplier plan work sales back education hbo sales advisor communication skills 
